title,description,category,department,priority
Grade correction request - North Campus,The grade shown on my portal does not match the marked result. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Grade correction request - Student Center,The grade shown on my portal does not match the marked result. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Course registration problem - Main Campus,The required course is not appearing in my registration options. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Course registration problem - Block A,"The required course is not appearing in my registration options. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Academic,Academic Office,Medium
Course registration problem - Library Wing,The required course is not appearing in my registration options. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Course registration problem - North Campus,The required course is not appearing in my registration options. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Course registration problem - Student Center,The required course is not appearing in my registration options. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Academic,Academic Office,Medium
Exam admit card missing - Main Campus,My admit card is unavailable even though the examination starts tomorrow. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Exam admit card missing - Block A,"My admit card is unavailable even though the examination starts tomorrow. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Academic,Academic Office,High
Exam admit card missing - Library Wing,My admit card is unavailable even though the examination starts tomorrow. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Exam admit card missing - North Campus,My admit card is unavailable even though the examination starts tomorrow. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Exam admit card missing - Student Center,My admit card is unavailable even though the examination starts tomorrow. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Final result error - Main Campus,My final result has an incorrect failed status and the appeal deadline is today. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Final result error - Block A,"My final result has an incorrect failed status and the appeal deadline is today. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Academic,Academic Office,High
Final result error - Library Wing,My final result has an incorrect failed status and the appeal deadline is today. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Final result error - North Campus,My final result has an incorrect failed status and the appeal deadline is today. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Final result error - Student Center,My final result has an incorrect failed status and the appeal deadline is today. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Enrollment blocked before exam - Main Campus,My semester enrollment is blocked and I cannot sit the scheduled examination. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Enrollment blocked before exam - Block A,"My semester enrollment is blocked and I cannot sit the scheduled examination. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Academic,Academic Office,High
Enrollment blocked before exam - Library Wing,My semester enrollment is blocked and I cannot sit the scheduled examination. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Enrollment blocked before exam - North Campus,My semester enrollment is blocked and I cannot sit the scheduled examination. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Enrollment blocked before exam - Student Center,My semester enrollment is blocked and I cannot sit the scheduled examination. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Academic,Academic Office,High
Cleaning schedule query - Main Campus,Please confirm when the classroom cleaning team visits this floor. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Cleaning schedule query - Block A,"Please confirm when the classroom cleaning team visits this floor. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Facilities,Facilities,Low
Cleaning schedule query - Library Wing,Please confirm when the classroom cleaning team visits this floor. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Cleaning schedule query - North Campus,Please confirm when the classroom cleaning team visits this floor. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Cleaning schedule query - Student Center,Please confirm when the classroom cleaning team visits this floor. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Room booking information - Main Campus,I need information about booking a seminar room for a student activity. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Room booking information - Block A,"I need information about booking a seminar room for a student activity. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Facilities,Facilities,Low
Room booking information - Library Wing,I need information about booking a seminar room for a student activity. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Room booking information - North Campus,I need information about booking a seminar room for a student activity. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Room booking information - Student Center,I need information about booking a seminar room for a student activity. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Maintenance update request - Main Campus,Please provide an update on the previously reported maintenance work. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Maintenance update request - Block A,"Please provide an update on the previously reported maintenance work. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Facilities,Facilities,Low
Maintenance update request - Library Wing,Please provide an update on the previously reported maintenance work. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Maintenance update request - North Campus,Please provide an update on the previously reported maintenance work. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Maintenance update request - Student Center,Please provide an update on the previously reported maintenance work. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Facilities,Facilities,Low
Noisy classroom fan - Main Campus,The classroom fan makes a loud noise and disturbs lectures. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Noisy classroom fan - Block A,"The classroom fan makes a loud noise and disturbs lectures. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Facilities,Facilities,Medium
Noisy classroom fan - Library Wing,The classroom fan makes a loud noise and disturbs lectures. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Noisy classroom fan - North Campus,The classroom fan makes a loud noise and disturbs lectures. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Noisy classroom fan - Student Center,The classroom fan makes a loud noise and disturbs lectures. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Broken classroom chair - Main Campus,A classroom chair is broken and needs replacement. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Broken classroom chair - Block A,"A classroom chair is broken and needs replacement. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Facilities,Facilities,Medium
Broken classroom chair - Library Wing,A classroom chair is broken and needs replacement. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Broken classroom chair - North Campus,A classroom chair is broken and needs replacement. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Broken classroom chair - Student Center,A classroom chair is broken and needs replacement. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Water leakage - Main Campus,Water is leaking near the corridor and making the floor slippery. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Water leakage - Block A,"Water is leaking near the corridor and making the floor slippery. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Facilities,Facilities,Medium
Water leakage - Library Wing,Water is leaking near the corridor and making the floor slippery. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Water leakage - North Campus,Water is leaking near the corridor and making the floor slippery. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Water leakage - Student Center,Water is leaking near the corridor and making the floor slippery. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Light not working - Main Campus,Several lights in the study area are not working. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Light not working - Block A,"Several lights in the study area are not working. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Facilities,Facilities,Medium
Light not working - Library Wing,Several lights in the study area are not working. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Light not working - North Campus,Several lights in the study area are not working. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Light not working - Student Center,Several lights in the study area are not working. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Facilities,Facilities,Medium
Building power outage - Main Campus,The whole academic block has no electricity and all classes are stopped. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Building power outage - Block A,"The whole academic block has no electricity and all classes are stopped. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Facilities,Facilities,High
Building power outage - Library Wing,The whole academic block has no electricity and all classes are stopped. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Building power outage - North Campus,The whole academic block has no electricity and all classes are stopped. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Building power outage - Student Center,The whole academic block has no electricity and all classes are stopped. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Exposed electrical wire - Main Campus,An exposed electrical wire is visible near a classroom entrance. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Exposed electrical wire - Block A,"An exposed electrical wire is visible near a classroom entrance. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Facilities,Facilities,High
Exposed electrical wire - Library Wing,An exposed electrical wire is visible near a classroom entrance. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Exposed electrical wire - North Campus,An exposed electrical wire is visible near a classroom entrance. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Exposed electrical wire - Student Center,An exposed electrical wire is visible near a classroom entrance. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Burst water pipe - Main Campus,A water pipe has burst and water is spreading through the hallway. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Burst water pipe - Block A,"A water pipe has burst and water is spreading through the hallway. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Facilities,Facilities,High
Burst water pipe - Library Wing,A water pipe has burst and water is spreading through the hallway. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Burst water pipe - North Campus,A water pipe has burst and water is spreading through the hallway. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Burst water pipe - Student Center,A water pipe has burst and water is spreading through the hallway. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Facilities,Facilities,High
Mess menu query - Main Campus,Please share this week's hostel mess menu and meal timings. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Mess menu query - Block A,"Please share this week's hostel mess menu and meal timings. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Hostel,Hostel Management,Low
Mess menu query - Library Wing,Please share this week's hostel mess menu and meal timings. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Mess menu query - North Campus,Please share this week's hostel mess menu and meal timings. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Mess menu query - Student Center,Please share this week's hostel mess menu and meal timings. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Room change procedure - Main Campus,I want to know the process for requesting a hostel room change. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Room change procedure - Block A,"I want to know the process for requesting a hostel room change. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Hostel,Hostel Management,Low
Room change procedure - Library Wing,I want to know the process for requesting a hostel room change. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Room change procedure - North Campus,I want to know the process for requesting a hostel room change. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Room change procedure - Student Center,I want to know the process for requesting a hostel room change. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Visitor policy information - Main Campus,Please clarify the hostel visitor timings and approval process. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Visitor policy information - Block A,"Please clarify the hostel visitor timings and approval process. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",Hostel,Hostel Management,Low
Visitor policy information - Library Wing,Please clarify the hostel visitor timings and approval process. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Visitor policy information - North Campus,Please clarify the hostel visitor timings and approval process. Location: North Campus. The issue has happened repeatedly and needs attention. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Visitor policy information - Student Center,Please clarify the hostel visitor timings and approval process. Location: Student Center. Please assign the relevant team and provide an update. This is a general request and there is no immediate deadline.,Hostel,Hostel Management,Low
Laundry service issue - Main Campus,The hostel laundry service has not returned my submitted clothes. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Laundry service issue - Block A,"The hostel laundry service has not returned my submitted clothes. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Hostel,Hostel Management,Medium
Laundry service issue - Library Wing,The hostel laundry service has not returned my submitted clothes. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Laundry service issue - North Campus,The hostel laundry service has not returned my submitted clothes. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Laundry service issue - Student Center,The hostel laundry service has not returned my submitted clothes. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Roommate conflict support - Main Campus,I need hostel management support regarding an ongoing roommate conflict. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Roommate conflict support - Block A,"I need hostel management support regarding an ongoing roommate conflict. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Hostel,Hostel Management,Medium
Roommate conflict support - Library Wing,I need hostel management support regarding an ongoing roommate conflict. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Roommate conflict support - North Campus,I need hostel management support regarding an ongoing roommate conflict. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Roommate conflict support - Student Center,I need hostel management support regarding an ongoing roommate conflict. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Room lock damaged - Main Campus,The lock on my hostel room door is damaged and difficult to use. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Room lock damaged - Block A,"The lock on my hostel room door is damaged and difficult to use. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Hostel,Hostel Management,Medium
Room lock damaged - Library Wing,The lock on my hostel room door is damaged and difficult to use. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Room lock damaged - North Campus,The lock on my hostel room door is damaged and difficult to use. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Room lock damaged - Student Center,The lock on my hostel room door is damaged and difficult to use. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Bed and cupboard damaged - Main Campus,The provided hostel bed and cupboard require repair. Location: Main Campus. Please guide me about this issue. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Bed and cupboard damaged - Block A,"The provided hostel bed and cupboard require repair. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. The issue is affecting normal student work; please resolve it soon.",Hostel,Hostel Management,Medium
Bed and cupboard damaged - Library Wing,The provided hostel bed and cupboard require repair. Location: Library Wing. This problem is affecting my university work. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Bed and cupboard damaged - North Campus,The provided hostel bed and cupboard require repair. Location: North Campus. The issue has happened repeatedly and needs attention. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Bed and cupboard damaged - Student Center,The provided hostel bed and cupboard require repair. Location: Student Center. Please assign the relevant team and provide an update. The issue is affecting normal student work; please resolve it soon.,Hostel,Hostel Management,Medium
Gas smell in hostel - Main Campus,There is a strong gas smell near the hostel kitchen and students may be at risk. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
Gas smell in hostel - Block A,"There is a strong gas smell near the hostel kitchen and students may be at risk. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Hostel,Hostel Management,High
Gas smell in hostel - Library Wing,There is a strong gas smell near the hostel kitchen and students may be at risk. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
Gas smell in hostel - North Campus,There is a strong gas smell near the hostel kitchen and students may be at risk. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
Gas smell in hostel - Student Center,There is a strong gas smell near the hostel kitchen and students may be at risk. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
Hostel power outage - Main Campus,The complete hostel building has no power during the night. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
Hostel power outage - Block A,"The complete hostel building has no power during the night. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Hostel,Hostel Management,High
Hostel power outage - Library Wing,The complete hostel building has no power during the night. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
Hostel power outage - North Campus,The complete hostel building has no power during the night. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
Hostel power outage - Student Center,The complete hostel building has no power during the night. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
Hostel security emergency - Main Campus,An unknown person entered the hostel area and immediate security help is required. Location: Main Campus. Please guide me about this issue. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
Hostel security emergency - Block A,"An unknown person entered the hostel area and immediate security help is required. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. Urgent: the service is blocked or a safety/deadline risk is involved.",Hostel,Hostel Management,High
Hostel security emergency - Library Wing,An unknown person entered the hostel area and immediate security help is required. Location: Library Wing. This problem is affecting my university work. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
Hostel security emergency - North Campus,An unknown person entered the hostel area and immediate security help is required. Location: North Campus. The issue has happened repeatedly and needs attention. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
Hostel security emergency - Student Center,An unknown person entered the hostel area and immediate security help is required. Location: Student Center. Please assign the relevant team and provide an update. Urgent: the service is blocked or a safety/deadline risk is involved.,Hostel,Hostel Management,High
WiFi password request - Main Campus,I need the current campus WiFi access procedure and password guidance. Location: Main Campus. Please guide me about this issue. This is a general request and there is no immediate deadline.,IT,IT Support,Low
WiFi password request - Block A,"I need the current campus WiFi access procedure and password guidance. Location: Block A. Yeh masla aaj subah se aa raha hai, kindly help. This is a general request and there is no immediate deadline.",IT,IT Support,Low
WiFi password request - Library Wing,I need the current campus WiFi access procedure and password guidance. Location: Library Wing. This problem is affecting my university work. This is a general request and there is no immediate deadline.,IT,IT Support,Low
